,Age,Gender,Home Language,Father Occupation,Mother Occupation,Number Of Siblings,Father Education,Mother Education,School Distance,Means to school,House Lighting,School Infrustructure,School Meal per day,School Cost,Family income source,Bangla,English,Math,Science,History,Social Science,Religious Study,Family Annual income,Extra Tution,Hours of study per day,Class Label,GPA,Attendance Parcentage
495,13-15 years,male,Bangla,Business,Immigrant,Three Children,primary,Honors/Equivalent ,0-0.5 km,Rickshaw,Electricity,Toilet,None,Low,Own business,73,56,91,23,65,67,62,250000,Yes,3 hours,No,3.12,71.1
496,13-15 years,male,Bangla,Worker,Home maker,Three Children,Honors/ Equivalent ,secondary,2-3 km,Rickshaw,Electricity,Water,None,Mediam,Casual Wage,45,41,87,50,29,47,42,750000,Yes,0 to 30 minutes,No,2.44,71.5
497,13-15 years,female,Bangla,Worker,Home maker,Two Children,Honors/ Equivalent ,primary,0-0.5 km,Bicycle/motorbike,Electricity,Water,None,Mediam,Casual Wage,45,55,67,36,50,54,38,650000,No,0 to 30 minutes,Yes,2.46,64.8
498,15-18 years,male,Bangla,Agriculture,Immigrant,Two Children,primary,Honors/Equivalent ,4-5 km,Walk,Paraffin,Teaching facilities,None,Mediam,Farming,50,51,88,65,45,21,43,700000,No,2 hours,No,2.59,55.8
499,10-13 years,female,Bangla,Agriculture,Worker,None,secondary,Honors/Equivalent ,0.5-1 km,Bicycle/motorbike,Electricity,Electricity,None,High,Farming,26,64,84,58,25,50,65,650000,Yes,2 hours,No,2.66,57.1
500,10-13 years,female,Bangla,Agriculture,Home maker,Three Children,secondary,secondary,1-2 km,Bicycle/motorbike,Other,Toilet,None,Mediam,Farming,41,64,74,24,37,24,44,250000,No,0 to 30 minutes,No,2.2,56
501,10-13 years,male,Bangla,Immigrant,Business,Two Children,None,secondary,6-7 km,Bicycle/motorbike,Electricity,Toilet,None,Mediam,Remittance,92,21,27,24,90,56,22,300000,No,3 hours,Yes,2.37,54.1
502,10-13 years,female,Bangla,Worker,Home maker,None,primary,None,0.5-1 km,Rickshaw,Electricity,Teaching facilities,Once,High,Casual Wage,57,46,62,45,63,87,22,200000,Yes,3 hours,No,2.73,53.1
503,13-15 years,female,Bangla,Public sector,Home maker,None,secondary,primary,0.5-1 km,Walk,Electricity,Teaching facilities,None,Low,Formal Wage,81,22,75,90,41,77,81,180000,No,3 hours,No,3.34,88.9
504,13-15 years,male,Bangla,Immigrant,Public sector,Three Children,primary,secondary,0-0.5 km,Rickshaw,Electricity,Teaching facilities,None,High,Remittance,47,61,47,74,38,71,41,300000,No,0 to 30 minutes,Yes,2.71,50.4
505,13-15 years,male,Bangla,Immigrant,Private sector,Three Children,Masters/ Equivalent and above,None,2-3 km,Bicycle/motorbike,Electricity,Toilet,None,Mediam,Remittance,45,32,60,45,27,80,89,250000,Yes,2 hours,Yes,2.7,66.4
506,13-15 years,female,Bangla,Private sector,Public sector,Two Children,secondary,secondary,4-5 km,Bicycle/motorbike,Other,Teaching facilities,None,High,Casual Wage,80,56,67,31,49,29,47,800000,Yes,0 to 30 minutes,No,2.56,55
507,10-13 years,female,Bangla,Public sector,Worker,Four or more,Honors/ Equivalent ,secondary,0.5-1 km,Walk,Other,Toilet,None,Mediam,Formal Wage,50,68,50,90,39,47,28,900000,No,3 hours,No,2.66,72.3
508,10-13 years,male,Bangla,Business,Home maker,Two Children,Masters/ Equivalent and above,secondary,4-5 km,School Bus/Bus,Electricity,Teaching facilities,Once,Mediam,Own business,32,52,69,29,68,79,29,800000,Yes,above 3 hours,No,2.56,61.4
509,10-13 years,female,Bangla,Business,Home maker,Two Children,secondary,secondary,0-0.5 km,School Bus/Bus,Other,Teaching facilities,None,High,Own business,54,78,28,22,26,39,27,750000,Yes,3 hours,No,1.96,35.4
510,10-13 years,male,Bangla,Agriculture,Home maker,None,primary,primary,1-2 km,Private car,Electricity,Teaching facilities,None,High,Farming,88,20,36,37,42,35,70,800000,No,1 hours,No,2.34,60.7
511,13-15 years,male,Bangla,Worker,Home maker,None,secondary,secondary,4-5 km,Rickshaw,Electricity,Water,None,High,Casual Wage,60,69,50,90,28,59,85,200000,Yes,3 hours,No,3.15,71.2
512,10-13 years,male,Bangla,Business,Worker,Three Children,Masters/ Equivalent and above,secondary,0.5-1 km,Walk,Other,Water,None,Mediam,Own business,43,90,88,43,33,62,88,150000,Yes,above 3 hours,No,3.19,91.1
513,10-13 years,male,Bangla,Worker,Home maker,Two Children,None,secondary,>7 km,Walk,Paraffin,Water,None,Mediam,Casual Wage,77,52,47,64,64,28,24,150000,Yes,above 3 hours,No,2.54,51.3
514,15-18 years,female,Bangla,Private sector,Home maker,Two Children,Honors/ Equivalent ,secondary,0.5-1 km,Private car,Other,Water,None,High,Casual Wage,62,87,49,48,74,31,21,250000,Yes,2 hours,No,2.66,52.5
515,10-13 years,male,Bangla,Immigrant,Home maker,None,primary,primary,1-2 km,Bicycle/motorbike,Other,Toilet,None,Mediam,Remittance,86,76,58,86,34,21,54,200000,Yes,above 3 hours,No,2.96,67.1
516,13-15 years,female,Bangla,Public sector,Home maker,Three Children,Honors/ Equivalent ,primary,0.5-1 km,Walk,Electricity,Water,None,Low,Formal Wage,61,83,63,85,59,54,61,450000,No,above 3 hours,No,3.33,76.9
517,15-18 years,female,Bangla,Public sector,Home maker,Three Children,primary,secondary,6-7 km,School Bus/Bus,Electricity,Teaching facilities,Once,Mediam,Formal Wage,52,62,43,22,55,28,51,800000,No,0 to 30 minutes,Yes,2.24,54.6
518,13-15 years,female,Bangla,Public sector,Worker,Two Children,secondary,secondary,4-5 km,Bicycle/motorbike,Electricity,Water,Once,Mediam,Formal Wage,28,90,78,38,51,71,34,150000,Yes,3 hours,No,2.79,71.5
519,10-13 years,male,Bangla,Worker,Worker,Two Children,primary,secondary,1-2 km,Walk,Other,Water,None,High,Casual Wage,70,60,73,22,35,43,38,850000,No,above 3 hours,No,2.44,72.7
520,10-13 years,male,Bangla,Public sector,Home maker,Three Children,secondary,primary,1-2 km,Walk,Other,Teaching facilities,None,High,Formal Wage,38,20,46,49,35,41,82,220000,Yes,0 to 30 minutes,No,2.22,73.2
521,15-18 years,female,Bangla,Immigrant,Home maker,None,Honors/ Equivalent ,primary,0.5-1 km,Walk,Other,Teaching facilities,None,High,Remittance,55,51,65,21,47,72,37,300000,Yes,3 hours,No,2.49,69.4
522,10-13 years,female,Bangla,Worker,Home maker,None,secondary,primary,0.5-1 km,School Bus/Bus,Electricity,Teaching facilities,Once,Mediam,Casual Wage,52,45,71,62,56,65,45,300000,No,0 to 30 minutes,Yes,2.83,65.4
523,10-13 years,male,Bangla,Public sector,Home maker,Two Children,primary,secondary,1-2 km,Bicycle/motorbike,Electricity,Water,None,Mediam,Formal Wage,73,79,33,67,82,80,71,200000,Yes,0 to 30 minutes,No,3.46,66.2
524,10-13 years,female,Bangla,Private sector,Home maker,None,primary,None,1-2 km,Private car,Electricity,Water,None,Low,Casual Wage,66,43,75,63,49,69,83,250000,No,3 hours,No,3.2,73.5
525,13-15 years,female,English,Worker,Home maker,Two Children,None,secondary,1-2 km,Rickshaw,Electricity,Teaching facilities,None,Low,Casual Wage,72,69,68,64,66,65,54,250000,No,3 hours,No,3.27,77.3
526,13-15 years,female,Bangla,Private sector,Home maker,Three Children,secondary,primary,0.5-1 km,Walk,Electricity,Teaching facilities,None,High,Casual Wage,91,59,50,54,50,52,78,250000,No,1 hours,No,3.1,65.5
527,10-13 years,male,Bangla,Public sector,Immigrant,None,primary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,Formal Wage,63,54,71,30,22,35,24,850000,Yes,0 to 30 minutes,No,2.14,50.4
528,13-15 years,male,Bangla,Immigrant,Worker,None,secondary,Honors/Equivalent ,2-3 km,Bicycle/motorbike,Paraffin,Teaching facilities,Once,Low,Remittance,63,85,32,88,52,58,41,250000,No,1 hours,Yes,2.99,64.4
529,10-13 years,male,Bangla,Worker,Home maker,None,Masters/ Equivalent and above,secondary,1-2 km,Walk,Electricity,Toilet,None,High,Casual Wage,63,92,22,44,24,21,30,550000,No,3 hours,No,2.11,61.8
530,13-15 years,male,English,Immigrant,Worker,Two Children,primary,Honors/Equivalent ,6-7 km,Private car,Electricity,Teaching facilities,None,Low,Remittance,37,25,39,31,73,48,55,550000,No,3 hours,Yes,2.2,64.4
531,13-15 years,female,Bangla,Immigrant,Home maker,None,secondary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,Remittance,51,37,40,80,62,61,48,400000,Yes,2 hours,No,2.71,50.8
532,above 18 years,male,Bangla,Immigrant,Business,None,primary,secondary,0-0.5 km,Walk,Electricity,Teaching facilities,None,Mediam,Remittance,89,91,90,51,84,25,33,750000,No,0 to 30 minutes,Yes,3.31,72.3
533,10-13 years,female,Bangla,Business,Home maker,Two Children,Masters/ Equivalent and above,secondary,0-0.5 km,Walk,Other,Toilet,None,High,Own business,53,46,85,20,68,30,83,200000,No,3 hours,No,2.75,60.3
534,10-13 years,female,Bangla,Private sector,Home maker,Two Children,primary,secondary,0.5-1 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,Casual Wage,25,30,74,25,75,45,53,500000,Yes,2 hours,No,2.34,63.1
535,13-15 years,male,Bangla,Worker,Home maker,Three Children,Honors/ Equivalent ,secondary,1-2 km,Walk,Paraffin,Teaching facilities,None,Mediam,Casual Wage,86,77,69,27,58,83,61,200000,Yes,3 hours,No,3.29,78.7
536,13-15 years,male,Bangla,Immigrant,Home maker,Four or more,primary,secondary,1-2 km,School Bus/Bus,Electricity,Teaching facilities,None,High,Remittance,79,81,82,39,48,64,68,800000,Yes,0 to 30 minutes,No,3.29,78.2
537,13-15 years,female,Bangla,Public sector,Home maker,Three Children,Masters/ Equivalent and above,primary,2-3 km,Walk,Other,Teaching facilities,None,Mediam,Formal Wage,21,91,21,64,29,49,60,150000,No,2 hours,No,2.39,73.5
538,15-18 years,female,Bangla,Immigrant,Home maker,None,primary,secondary,>7 km,Private car,Electricity,Teaching facilities,None,Mediam,Remittance,83,87,21,48,35,88,61,900000,No,1 hours,No,3.02,70.1
539,10-13 years,male,Bangla,Worker,Home maker,Two Children,primary,secondary,0-0.5 km,School Bus/Bus,Other,Teaching facilities,None,Mediam,Casual Wage,52,83,69,62,35,31,35,220000,No,0 to 30 minutes,Yes,2.62,70.1
540,13-15 years,male,Bangla,Immigrant,Agriculture,None,secondary,primary,4-5 km,Walk,Electricity,Water,Once,High,Remittance,85,47,78,78,50,73,32,200000,No,above 3 hours,Yes,3.16,82.6
541,10-13 years,male,Bangla,Freelancer ,Home maker,Two Children,primary,secondary,6-7 km,Bicycle/motorbike,Electricity,Toilet,None,High,Own business,66,32,81,82,62,79,70,600000,No,1 hours,No,3.37,78.1
542,13-15 years,male,Bangla,Agriculture,Home maker,None,Honors/ Equivalent ,secondary,1-2 km,Walk,Electricity,Water,None,Mediam,Farming,76,40,39,65,62,85,57,850000,Yes,3 hours,No,3.03,78.9
543,15-18 years,male,Bangla,Immigrant,Home maker,Four or more,secondary,primary,4-5 km,Rickshaw,Electricity,Toilet,None,High,Remittance,81,46,90,66,75,80,92,350000,No,3 hours,No,3.79,78
544,10-13 years,female,Bangla,Worker,Public sector,None,secondary,secondary,4-5 km,Bicycle/motorbike,Electricity,Toilet,None,High,Casual Wage,48,68,54,89,40,49,77,150000,No,3 hours,Yes,3.04,91.6
545,13-15 years,male,Bangla,Immigrant,Freelancer,Four or more,primary,None,0.5-1 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Mediam,Remittance,62,35,77,66,48,24,35,200000,No,2 hours,Yes,2.48,58.3
546,13-15 years,male,Bangla,Immigrant,Home maker,Three Children,Honors/ Equivalent ,primary,6-7 km,School Bus/Bus,Electricity,Teaching facilities,None,Mediam,Remittance,84,47,29,52,86,21,71,900000,No,0 to 30 minutes,Yes,2.79,65.9
547,13-15 years,female,English,Worker,Home maker,None,secondary,secondary,0-0.5 km,School Bus/Bus,Electricity,Teaching facilities,None,Mediam,Casual Wage,55,24,82,69,48,21,53,200000,Yes,1 hours,No,2.51,57.2
548,15-18 years,female,Bangla,Public sector,Home maker,Two Children,primary,secondary,6-7 km,Rickshaw,Electricity,Teaching facilities,Once,Mediam,Formal Wage,28,72,49,72,55,85,86,400000,No,3 hours,No,3.19,69.9
549,13-15 years,female,Bangla,Immigrant,Public sector,None,None,primary,2-3 km,Rickshaw,Electricity,Water,None,Mediam,Remittance,83,70,46,56,74,20,49,900000,Yes,1 hours,Yes,2.84,58.4
550,13-15 years,male,Bangla,Immigrant,Public sector,Two Children,secondary,Honors/Equivalent ,1-2 km,Rickshaw,Electricity,Teaching facilities,None,High,Remittance,86,70,46,89,75,47,43,100000,No,above 3 hours,Yes,3.26,92.9
551,15-18 years,male,Bangla,Business,Home maker,Two Children,secondary,Honors/Equivalent ,2-3 km,Walk,Electricity,Teaching facilities,None,High,Own business,84,81,84,82,61,91,66,300000,Yes,2 hours,No,3.92,70.3
552,10-13 years,male,Bangla,Private sector,Home maker,None,primary,secondary,1-2 km,Walk,Electricity,Teaching facilities,None,Low,Casual Wage,33,80,83,30,23,25,23,100000,No,3 hours,No,2.12,72.4
553,10-13 years,female,Bangla,Immigrant,Home maker,Two Children,secondary,None,4-5 km,Rickshaw,Electricity,Toilet,None,Low,Remittance,26,48,77,30,31,45,27,200000,No,0 to 30 minutes,Yes,2.03,70.8
554,10-13 years,male,English,Worker,Home maker,None,Masters/ Equivalent and above,primary,0.5-1 km,School Bus/Bus,Paraffin,Water,Once,High,Casual Wage,23,77,50,36,22,70,79,150000,No,2 hours,No,2.55,63.3
555,10-13 years,male,Bangla,Unemployed,Home maker,Four or more,secondary,secondary,0-0.5 km,Private car,Other,Toilet,Once,High,Pansion,42,27,35,32,55,80,71,650000,No,2 hours,No,2.44,72.7
556,13-15 years,male,Bangla,Freelancer ,Home maker,Three Children,primary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,Own business,91,52,51,60,22,89,32,100000,Yes,above 3 hours,No,2.84,72.7
557,15-18 years,male,Bangla,Private sector,Private sector,Four or more,secondary,secondary,0.5-1 km,Bicycle/motorbike,Electricity,Water,Once,High,Casual Wage,53,78,59,33,64,58,92,850000,Yes,1 hours,No,3.12,91.9
558,13-15 years,male,Bangla,Business,Home maker,None,Honors/ Equivalent ,secondary,4-5 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Mediam,Own business,77,43,89,75,58,30,72,200000,Yes,3 hours,No,3.17,89.2
559,10-13 years,female,Bangla,Public sector,Public sector,Three Children,primary,secondary,0.5-1 km,Walk,Electricity,Teaching facilities,None,Mediam,Formal Wage,85,43,83,54,28,59,29,250000,No,3 hours,No,2.72,64.7
560,above 18 years,male,Bangla,Freelancer ,Home maker,Four or more,Masters/ Equivalent and above,secondary,1-2 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,High,Own business,26,45,71,90,37,55,51,900000,Yes,1 hours,No,2.68,63.8
561,10-13 years,female,Bangla,Private sector,Home maker,Two Children,primary,None,1-2 km,School Bus/Bus,Other,Teaching facilities,Once,High,Casual Wage,47,53,39,63,62,65,36,180000,No,0 to 30 minutes,Yes,2.61,67.2
562,10-13 years,female,Bangla,Public sector,Home maker,None,primary,secondary,6-7 km,School Bus/Bus,Electricity,Teaching facilities,Once,Mediam,Formal Wage,31,28,46,27,75,25,36,450000,Yes,1 hours,Yes,1.91,45.9
563,13-15 years,female,Bangla,Private sector,Public sector,Two Children,Masters/ Equivalent and above,secondary,0-0.5 km,Bicycle/motorbike,Other,Toilet,None,Low,Casual Wage,55,69,92,59,21,27,86,150000,No,3 hours,No,2.92,74.7
564,10-13 years,female,Bangla,Worker,Business,None,secondary,Honors/Equivalent ,0-0.5 km,Walk,Other,Teaching facilities,None,Mediam,Casual Wage,85,47,72,51,67,56,52,220000,Yes,2 hours,No,3.07,67.5
565,13-15 years,female,Bangla,Public sector,Business,Two Children,primary,secondary,0.5-1 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Low,Formal Wage,70,42,54,22,57,42,70,150000,No,above 3 hours,No,2.55,74.2
566,13-15 years,female,Bangla,Worker,Home maker,Two Children,secondary,secondary,1-2 km,Bicycle/motorbike,Other,Teaching facilities,None,Low,Casual Wage,54,31,50,57,25,53,37,900000,No,1 hours,No,2.19,64.7
567,13-15 years,male,Bangla,Immigrant,Business,None,Honors/ Equivalent ,Honors/Equivalent ,1-2 km,Bicycle/motorbike,Paraffin,Teaching facilities,None,High,Remittance,50,72,76,76,39,90,45,200000,Yes,3 hours,Yes,3.2,79.3
568,10-13 years,male,Bangla,Freelancer ,Home maker,Three Children,Masters/ Equivalent and above,primary,2-3 km,Walk,Electricity,Teaching facilities,None,High,Own business,22,40,67,20,78,88,79,150000,No,3 hours,No,2.81,63.3
569,13-15 years,female,Bangla,Business,Home maker,None,secondary,secondary,1-2 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Low,Own business,38,77,34,68,25,26,75,600000,No,0 to 30 minutes,Yes,2.45,62.6
570,15-18 years,male,Bangla,Agriculture,Home maker,Three Children,secondary,secondary,0.5-1 km,School Bus/Bus,Electricity,Toilet,None,High,Farming,86,51,38,87,43,58,28,300000,No,3 hours,No,2.79,72.3
571,10-13 years,female,Bangla,Immigrant,Home maker,Two Children,secondary,secondary,2-3 km,Walk,Other,Teaching facilities,None,Mediam,Remittance,75,72,91,56,69,34,55,700000,Yes,0 to 30 minutes,No,3.23,79.2
572,10-13 years,male,Bangla,Public sector,Home maker,None,primary,secondary,0.5-1 km,School Bus/Bus,Electricity,Teaching facilities,None,High,Formal Wage,59,41,22,48,91,77,82,300000,No,0 to 30 minutes,Yes,3,87.7
573,10-13 years,female,Bangla,Worker,Home maker,Two Children,primary,primary,6-7 km,Private car,Electricity,Teaching facilities,None,High,Casual Wage,59,64,80,79,85,30,62,700000,Yes,above 3 hours,No,3.28,68.1
574,13-15 years,male,Bangla,Business,Home maker,Two Children,secondary,secondary,2-3 km,Private car,Electricity,Teaching facilities,Once,Mediam,Own business,49,65,34,80,33,35,28,150000,Yes,above 3 hours,No,2.31,73.5
575,10-13 years,female,Bangla,Business,Home maker,None,primary,primary,1-2 km,School Bus/Bus,Electricity,Electricity,Once,High,Own business,31,44,67,88,61,64,51,850000,Yes,0 to 30 minutes,No,2.9,54.3
576,13-15 years,male,Bangla,Worker,Home maker,Two Children,Masters/ Equivalent and above,secondary,4-5 km,School Bus/Bus,Other,Teaching facilities,None,High,Casual Wage,80,78,84,32,58,78,76,550000,No,0 to 30 minutes,Yes,3.47,79.2
577,13-15 years,male,English,Unemployed,Home maker,Four or more,primary,Honors/Equivalent ,1-2 km,School Bus/Bus,Electricity,Water,None,High,Pansion,37,47,40,25,82,88,78,220000,Yes,3 hours,No,2.84,64.1
578,10-13 years,male,Bangla,Worker,Home maker,Four or more,primary,secondary,1-2 km,Walk,Electricity,Teaching facilities,None,Mediam,Casual Wage,84,62,69,50,32,76,75,150000,No,2 hours,No,3.2,81
579,10-13 years,female,Bangla,Worker,Home maker,Two Children,Honors/ Equivalent ,None,2-3 km,School Bus/Bus,Other,Teaching facilities,None,Low,Casual Wage,55,41,60,88,85,60,41,500000,No,3 hours,No,3.07,69.8
580,10-13 years,female,Bangla,Freelancer ,Business,None,Honors/ Equivalent ,secondary,4-5 km,Rickshaw,Electricity,Teaching facilities,None,Low,Own business,68,33,38,39,86,29,46,850000,No,2 hours,No,2.42,51.8
581,13-15 years,female,Bangla,Worker,Public sector,None,secondary,secondary,6-7 km,Walk,Paraffin,Water,Once,High,Casual Wage,50,39,85,51,80,72,23,300000,No,1 hours,No,2.86,71.8
582,10-13 years,female,Bangla,Worker,Immigrant,Two Children,primary,None,1-2 km,Walk,Electricity,Teaching facilities,None,High,Casual Wage,28,47,24,44,37,59,72,800000,Yes,1 hours,No,2.22,68.9
583,13-15 years,male,Bangla,Worker,Home maker,Three Children,Masters/ Equivalent and above,secondary,1-2 km,Rickshaw,Electricity,Toilet,None,High,Casual Wage,67,66,55,70,78,25,38,150000,No,1 hours,No,2.85,74.1
584,above 18 years,female,Bangla,Worker,Public sector,Three Children,Masters/ Equivalent and above,secondary,0-0.5 km,Walk,Electricity,Toilet,None,Mediam,Casual Wage,67,82,50,67,30,69,92,450000,Yes,above 3 hours,No,3.26,74.1
585,15-18 years,male,Bangla,Worker,Worker,Two Children,secondary,secondary,0-0.5 km,Private car,Electricity,Water,Once,High,Casual Wage,62,45,28,45,26,60,57,400000,Yes,1 hours,No,2.31,69.7
586,15-18 years,male,Bangla,Freelancer ,Home maker,None,primary,secondary,0-0.5 km,Walk,Other,Teaching facilities,None,High,Own business,55,84,57,74,54,25,59,800000,No,2 hours,No,2.91,58.6
587,13-15 years,female,Bangla,Agriculture,Home maker,None,None,secondary,6-7 km,Rickshaw,Electricity,Toilet,None,High,Farming,82,46,79,33,61,24,45,150000,Yes,1 hours,Yes,2.64,50.3
588,10-13 years,female,Bangla,Freelancer ,Home maker,Four or more,secondary,None,0.5-1 km,School Bus/Bus,Other,Teaching facilities,None,Low,Own business,47,76,38,75,31,69,72,900000,Yes,0 to 30 minutes,No,2.91,71.6
589,10-13 years,male,Bangla,Business,Home maker,None,secondary,Honors/Equivalent ,0-0.5 km,Walk,Other,Teaching facilities,None,Mediam,Own business,21,64,31,84,71,40,22,600000,No,3 hours,No,2.38,69.9
590,13-15 years,male,Bangla,Immigrant,Business,Two Children,Masters/ Equivalent and above,secondary,1-2 km,Walk,Electricity,Teaching facilities,None,High,Remittance,28,44,45,83,22,31,44,700000,Yes,0 to 30 minutes,Yes,2.12,52.2
591,10-13 years,female,Bangla,Private sector,Public sector,None,secondary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,Casual Wage,86,46,35,38,73,38,55,350000,Yes,1 hours,No,2.65,60.9
592,15-18 years,female,Bangla,Private sector,Public sector,None,secondary,secondary,2-3 km,Walk,Electricity,Teaching facilities,Once,Mediam,Casual Wage,76,38,57,26,72,56,75,150000,Yes,1 hours,No,2.86,63.8
593,13-15 years,male,Bangla,Immigrant,Home maker,Four or more,None,primary,2-3 km,Walk,Electricity,Teaching facilities,Once,High,Remittance,85,24,72,63,44,33,80,250000,Yes,2 hours,No,2.86,66.1
594,10-13 years,male,Bangla,Worker,Home maker,Three Children,secondary,secondary,0.5-1 km,Rickshaw,Electricity,Teaching facilities,None,Mediam,Casual Wage,61,90,61,51,79,49,47,250000,Yes,2 hours,No,3.13,78.3
595,10-13 years,male,Bangla,Immigrant,Private sector,Three Children,primary,primary,2-3 km,Walk,Electricity,Teaching facilities,Once,Mediam,Remittance,64,83,38,67,75,63,37,550000,Yes,above 3 hours,Yes,3.05,85.8
596,above 18 years,male,Bangla,Unemployed,Home maker,None,secondary,primary,2-3 km,Rickshaw,Electricity,Teaching facilities,None,Mediam,Pansion,29,51,40,41,85,32,82,200000,No,2 hours,No,2.57,59.6
597,10-13 years,male,Bangla,Public sector,Public sector,Three Children,Honors/ Equivalent ,secondary,0.5-1 km,School Bus/Bus,Other,Teaching facilities,None,Low,Formal Wage,58,66,53,73,92,49,61,300000,No,2 hours,No,3.23,88.9
598,10-13 years,female,Bangla,Immigrant,Home maker,Three Children,primary,secondary,1-2 km,Walk,Electricity,Teaching facilities,None,Mediam,Remittance,71,31,80,36,57,34,86,600000,No,3 hours,No,2.82,68.2
599,10-13 years,female,English,Agriculture,Public sector,Three Children,Masters/ Equivalent and above,secondary,1-2 km,Walk,Electricity,Water,Once,High,Farming,31,82,87,92,62,73,73,150000,No,2 hours,Yes,3.57,67.2
600,13-15 years,female,Bangla,Worker,Home maker,None,secondary,secondary,1-2 km,Bicycle/motorbike,Other,Water,Once,Mediam,Casual Wage,34,54,54,82,30,65,33,150000,Yes,0 to 30 minutes,No,2.51,63.1
601,15-18 years,male,Bangla,Public sector,Home maker,Four or more,secondary,secondary,0-0.5 km,School Bus/Bus,Electricity,Teaching facilities,None,High,Formal Wage,75,41,66,41,39,88,70,800000,No,0 to 30 minutes,Yes,3,91.3
602,10-13 years,male,Bangla,Public sector,Home maker,None,primary,primary,2-3 km,Walk,Electricity,Teaching facilities,None,High,Formal Wage,68,89,75,65,37,62,63,220000,No,3 hours,No,3.28,88.6
603,10-13 years,male,Bangla,Agriculture,Public sector,None,secondary,primary,>7 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,Farming,72,83,27,50,47,82,67,800000,Yes,2 hours,No,3.06,70.3
604,10-13 years,female,Bangla,Worker,Worker,None,secondary,Honors/Equivalent ,2-3 km,Rickshaw,Paraffin,Teaching facilities,None,High,Casual Wage,62,70,84,38,48,43,51,300000,Yes,3 hours,No,2.83,68.7
605,15-18 years,male,Bangla,Worker,Home maker,None,primary,secondary,0.5-1 km,School Bus/Bus,Other,Teaching facilities,None,Mediam,Casual Wage,48,47,91,73,83,31,36,350000,Yes,0 to 30 minutes,No,2.92,65.8
606,13-15 years,female,Bangla,Immigrant,Home maker,Two Children,Masters/ Equivalent and above,secondary,0-0.5 km,Rickshaw,Other,Teaching facilities,None,Mediam,Remittance,24,92,78,59,27,83,68,350000,Yes,2 hours,No,3.08,76
607,10-13 years,female,Bangla,Business,Home maker,Two Children,secondary,secondary,2-3 km,Walk,Other,Water,Once,High,Own business,86,20,21,76,88,76,43,750000,No,2 hours,No,2.93,66.1
608,15-18 years,female,Bangla,Public sector,Public sector,Three Children,Honors/ Equivalent ,secondary,0-0.5 km,Private car,Electricity,Toilet,Once,High,Formal Wage,58,87,49,58,73,68,46,100000,Yes,2 hours,Yes,3.14,75.8
609,10-13 years,male,Bangla,Worker,Home maker,None,primary,secondary,1-2 km,School Bus/Bus,Electricity,Water,Once,High,Casual Wage,92,69,78,92,23,40,31,300000,No,0 to 30 minutes,Yes,3.04,85.7
610,15-18 years,male,English,Freelancer ,Home maker,None,primary,secondary,2-3 km,School Bus/Bus,Electricity,Electricity,None,Mediam,Own business,39,69,65,22,34,60,35,450000,Yes,2 hours,No,2.31,64.2
611,13-15 years,male,Bangla,Private sector,Worker,None,primary,Honors/Equivalent ,0-0.5 km,School Bus/Bus,Electricity,Teaching facilities,None,Mediam,Casual Wage,75,36,65,56,60,67,83,600000,No,above 3 hours,No,3.16,65.3
612,15-18 years,female,Bangla,Unemployed,Worker,None,Masters/ Equivalent and above,secondary,1-2 km,School Bus/Bus,Electricity,Teaching facilities,None,High,Pansion,71,30,43,48,82,76,66,100000,No,2 hours,Yes,2.97,74.3
613,13-15 years,female,Bangla,Private sector,Freelancer,Three Children,primary,secondary,4-5 km,School Bus/Bus,Electricity,Teaching facilities,None,High,Casual Wage,52,78,69,27,56,61,64,650000,Yes,above 3 hours,No,2.91,52.7
614,13-15 years,female,Bangla,Agriculture,Immigrant,Three Children,secondary,secondary,6-7 km,School Bus/Bus,Electricity,Teaching facilities,None,High,Farming,84,21,44,29,49,68,81,600000,No,above 3 hours,No,2.69,60.5
615,13-15 years,male,Bangla,Private sector,Home maker,Two Children,secondary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Mediam,Casual Wage,35,46,46,79,71,86,33,750000,No,0 to 30 minutes,Yes,2.83,73
616,10-13 years,female,Bangla,Immigrant,Public sector,Two Children,Honors/ Equivalent ,secondary,6-7 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,Remittance,69,56,89,75,69,39,45,550000,No,1 hours,Yes,3.16,69.6
617,10-13 years,female,Bangla,Worker,Home maker,Three Children,None,secondary,1-2 km,School Bus/Bus,Other,Toilet,Once,High,Casual Wage,88,62,22,49,73,47,26,400000,No,above 3 hours,No,2.62,64.6
